"Período","IAEmp",""
"Jun-08","100.0",""
"Jul-08","100.0",""
"Aug-08","100.1",""
"Sep-08","95.8",""
"Oct-08","87.1",""
"Nov-08","70.8",""
"Dec-08","64.8",""
"Jan-09","62.8",""
"Feb-09","64.3",""
"Mar-09","65.0",""
"Apr-09","67.3",""
"May-09","73.0",""
"Jun-09","76.2",""
"Jul-09","79.6",""
"Aug-09","83.9",""
"Sep-09","87.9",""
"Oct-09","90.8",""
"Nov-09","94.0",""
"Dec-09","97.0",""
"Jan-10","96.8",""
"Feb-10","99.3",""
"Mar-10","99.7",""
"Apr-10","99.2",""
"May-10","98.7",""
"Jun-10","95.0",""
"Jul-10","94.8",""
"Aug-10","93.2",""
"Sep-10","93.5",""
"Oct-10","94.3",""
"Nov-10","93.3",""
"Dec-10","92.9",""
"Jan-11","92.0",""
"Feb-11","93.6",""
"Mar-11","92.3",""
"Apr-11","92.0",""
"May-11","90.4",""
"Jun-11","89.1",""
"Jul-11","88.7",""
"Aug-11","85.0",""
"Sep-11","84.8",""
"Oct-11","86.6",""
"Nov-11","86.5",""
"Dec-11","85.3",""
"Jan-12","85.8",""
"Feb-12","87.6",""
"Mar-12","88.2",""
"Apr-12","88.7",""
"May-12","87.7",""
"Jun-12","85.7",""
"Jul-12","84.4",""
"Aug-12","84.0",""
"Sep-12","86.9",""
"Oct-12","89.0",""
"Nov-12","88.7",""
"Dec-12","88.4",""
"Jan-13","89.0",""
"Feb-13","88.8",""
"Mar-13","89.2",""
"Apr-13","86.5",""
"May-13","88.0",""
"Jun-13","86.9",""
"Jul-13","82.0",""
"Aug-13","84.1",""
"Sep-13","84.2",""
"Oct-13","85.2",""
"Nov-13","85.1",""
"Dec-13","86.9",""
"Jan-14","86.1",""
"Feb-14","86.1",""
"Mar-14","85.7",""
"Apr-14","83.0",""
"May-14","79.3",""
"Jun-14","75.7",""
"Jul-14","74.5",""
"Aug-14","73.6",""
"Sep-14","71.6",""
"Oct-14","74.7",""
"Nov-14","74.5",""
"Dec-14","76.0",""
"Jan-15","74.2",""
"Feb-15","71.0",""
"Mar-15","64.9",""
"Apr-15","66.2",""
"May-15","66.4",""
"Jun-15","65.7",""
"Jul-15","65.9",""
"Aug-15","64.2",""
"Sep-15","62.0",""
"Oct-15","65.1",""
"Nov-15","68.2",""
"Dec-15","70.0",""
"Jan-16","73.3",""
"Feb-16","72.5",""
"Mar-16","73.8",""
"Apr-16","76.5",""
"May-16","79.4",""
"Jun-16","82.2",""
"Jul-16","89.1",""
"Aug-16","90.2",""
"Sep-16","93.7",""
"Oct-16","92.9",""
"Nov-16","93.1",""
"Dec-16","90.0",""
"Jan-17","95.6",""
"Feb-17","95.9",""
"Mar-17","100.5",""
"Apr-17","100.5",""
"May-17","99.3",""
"Jun-17","96.9",""
"Jul-17","98.4",""
"Aug-17","98.2",""
"Sep-17","100.6",""
"Oct-17","102.9",""
"Nov-17","103.9",""
"Dec-17","107.0",""
"Jan-18","107.7",""
"Feb-18","109.6",""
"Mar-18","107.7",""
"Apr-18","103.6",""
"May-18","101.1",""
"Jun-18","95.5",""
"Jul-18","94.7",""
"Aug-18","94.3",""
"Sep-18","91.0",""
"Oct-18","90.8",""
"Nov-18","97.0",""
"Dec-18","97.0",""
"Jan-19","101.1",""
"Feb-19","99.3",""
"Mar-19","93.5",""
"Apr-19","92.5",""
"May-19","85.8",""
"Jun-19","86.6",""
"Jul-19","87.0",""
"Aug-19","86.8",""
"Sep-19","87.1",""
"Oct-19","85.8",""
"Nov-19","88.4",""
"Dec-19","89.9",""
"Jan-20","92.3",""
"Feb-20","92.0",""
"Mar-20","82.6",""
"Apr-20","39.7",""
"May-20","42.7",""
"Jun-20","56.7",""
"Jul-20","66.1",""
"Aug-20","74.8",""
"Sep-20","82.0",""
"Oct-20","84.9",""
"Nov-20","84.5",""
"Dec-20","85.7",""
"Jan-21","83.5",""
"Feb-21","82.9",""
"Mar-21","77.1",""
"Apr-21","78.7",""
"May-21","83.4",""
"Jun-21","87.6",""
"Jul-21","89.2",""
"Aug-21","90.1",""
"Sep-21","87.0",""
"Oct-21","87.1",""
"Nov-21","83.0",""
"Dec-21","81.8",""
"Jan-22","76.5",""
"Feb-22","75.1",""
"Mar-22","75.0",""
"Apr-22","79.5",""
"May-22","80.9",""
"Jun-22","81.9",""
"Jul-22","81.1",""
"Aug-22","82.3",""
"Sep-22","83.8",""
"Oct-22","79.8",""
"Nov-22","73.1",""
"Dec-22","74.7",""
"Jan-23","73.9",""
"Feb-23","74.7",""
